,No.,Material,Part Name,Storage Bin,Tact,Box 1,Box 2,Box 3,Box 4,Box 5,Recount 1,Recount 2,Recount 3,Recount 4,Recount 5,Status,,Verify By,Remark
,162,WHT007043,ECCENTRIC WASHER,RA-17,REAR AXLE,87,,,,,,,,,,Counted,,,
,163,WHT007090,ECCENTRIC BOLT,RA-36,REAR AXLE,1,,,,,,,,,,Counted,,,
,164,WHT007096,12-POINT FLANGE BO LT W. WASHER,RA-27,REAR AXLE,64,,,,,,,,,,Counted,,,
,165,WHT007828,PREV.TORQUE TYPE H EX.NUT W.FLANGE,RA-39,REAR AXLE,269,,,,,,,,,,Counted,,,
,166,WHT008016,ECCENTRIC BOLT,RA-16,REAR AXLE,54,,,,,,,,,,Counted,,,
,167,WHT009363A,BOLT WITH WASHER,RA-26,REAR AXLE,39,,,,,,,,,,Counted,,,
,168,WHT010332,PREV.TORQUE TYPE HEX.NUT W.FLANGE,RA-19,REAR AXLE,112,,,,,,,,,,Counted,,,
,169,4M0145334AB,AIR DEFLECTOR,FE-100,FRONTEND,17,,,,,,,,,,Counted,,,
,170,4M0941085E,HEADLAMP,FE-101,FRONTEND,2,4,,,,,,,,,Counted,,,
,171,4M0805607C,HEADLAMP MOUNTING,FE-102,FRONTEND,27,,,,,,,,,,Counted,,,
,172,4M0941086E,HEADLAMP,FE-108,FRONTEND,1,2,,,,,,,,,Counted,,,
,173,4M0805608C,HEADLAMP MOUNTING,FE-109,FRONTEND,9,,,,,,,,,,Counted,,,
,174,4M0805594F,PLASTIC FRONT-END CARRIER,FE-41,FRONTEND,5,,,,,,,,,,Counted,,,
,175,4M0823531B,BOWDEN CABLE,FE-45,FRONTEND,24,73,,,,,,,,,Counted,,,
,176,8W0121251AB,RADIATOR,FE-54,FRONTEND,13,,,,,,,,,,Counted,,,
,177,4M0816411Q,CONDENSER,FE-58,FRONTEND,16,,,,,,,,,,Counted,,,
,178,8W0121003H,FAN MODULE,FE-59,FRONTEND,16,,,,,,,,,,Counted,,,
,179,4M0121286F,AIR DEFLECTOR,FE-60,FRONTEND,52,,,,,,,,,,Counted,,,
,180,4M0145941E,CHARGE AIR PIPE,FE-70,FRONTEND,9,,,,,,,,,,Counted,,,
,181,4M0145803BP,CHARGE AIR COOLER,FE-75,FRONTEND,5,,,,,,,,,,Counted,,,
,182,4M0145804BR,CHARGE AIR COOLER,FE-78,FRONTEND,14,,,,,,,,,,Counted,,,
,183,4M0807109C,"BUMPER BAR,FRONT",FE-81,FRONTEND,16,,,,,,,,,,Counted,,,
,184,4M0121219E,RADIATOR BLIND,FE-82,FRONTEND,6,,,,,,,,,,Counted,,,
,185,4M0121285CL,"AIR DUCT ELEMENT, UPPER PART",FE-89,FRONTEND,3,51,,,,,,,,,Counted,,,
,186,4M0807550M,FOAM STRIP,FE-96,FRONTEND,23,,,,,,,,,,Counted,,,
,187,4M0145333AB,AIR DEFLECTOR,FE-99,FRONTEND,17,,,,,,,,,,Counted,,,
,188,867129669,GROMMET,FE-52,FRONTEND,427,,,,,,,,,,Counted,,,
,189,050129669C,GROMMET,FE-74,FRONTEND,3,190,,,,,,,,,Counted,,,
,190,3B0919136A,PLUG-IN BASE,FE-94,FRONTEND,679,,,,,,,,,,Counted,,,
,191,4D0133335,CAP,FE-62,FRONTEND,95,,,,,,,,,,Counted,,,
,192,4H0145219,SLEEVE,FE-77,FRONTEND,84,,,,,,,,,,Counted,,,
,193,4M0121081CN,COOLANT HOSE,FE-65,FRONTEND,27,,,,,,,,,,Counted,,,
